Mouse_ID,Genotype,Gene,Sex,Left_Poke_PR1,Right_Poke_PR1,Total_Pokes_PR1,Accuracy_PR1,PokesPerPellet_PR1,MedianBreakPoint_PR1,Numberofblocks_PR1,Daily_Pellets_PR1,Demand_Q0_raw_PR1,Demand_alpha_raw_PR1,Demand_beta_raw_PR1,Demand_alpha_FR_PR1,Demand_beta_FR_PR1
MYT1L_001_9_14,Het,MYT1L,F,2424.0,482.0,2906.0,83.41362697866484,11.8130081300813,9.0,21.0,124.55623208959159,23.198449426938236,8.824801614720638,2.8512651882218223,9.24135064499527,3.044462814505348
MYT1L_001_5_24,Het,MYT1L,F,3318.0,411.0,3729.0,88.97827835880933,15.473029045643154,10.0,17.0,121.28540723784228,18.97677991762113,8.988588707851612,1.8611992656811842,9.631569599623635,1.963441058154865
MYT1L_001_5_28,Het,MYT1L,F,3878.0,913.0,4791.0,80.94343560843248,21.199115044247787,11.0,11.0,113.82072117234223,13.7163647329951,10.879420918641056,1.4690441256956783,13.306443390697737,1.6459439613500526
MYT1L_001_2_5,Het,MYT1L,F,1881.0,479.0,2360.0,79.70338983050847,12.421052631578947,7.0,19.0,96.31711424162594,22.37988789223048,5.737935190680338,1.5670192567305454,6.792052909976265,1.7388388491535591
MYT1L_001_2_8,Het,MYT1L,F,3497.0,692.0,4189.0,83.48054428264501,16.557312252964426,11.0,14.0,127.66509172249056,16.275661616272966,11.954532220212322,1.8250312080330966,13.296137945837923,1.984783588245581
MYT1L_001_9_12,Het,MYT1L,F,2325.0,446.0,2771.0,83.90472753518586,13.583333333333334,9.0,17.0,103.00682013429879,20.13527031884903,6.899358106469999,1.6102054060662758,8.098318292666775,1.7879870307431607
MYT1L_001_12_46,Het,MYT1L,F,4109.0,1035.0,5144.0,79.87947122861586,17.73793103448276,9.0,21.0,146.12298217784826,24.155514560584958,8.324476135124378,1.9360286587111672,9.310485619058124,2.116031363694382
MYT1L_001_12_51,Het,MYT1L,F,3265.0,906.0,4171.0,78.27859026612323,14.790780141843971,10.0,19.0,141.87605177805082,21.31754397319596,10.627832219594056,2.2309415231644047,11.404993164645829,2.3807029313573236
MYT1L_001_1_1,Wt,MYT1L,F,4734.0,947.0,5681.0,83.33039957753915,19.657439446366784,14.0,13.0,145.39187143356236,14.85828113470781,15.344304561791843,2.0511155500284084,16.46848895114157,2.1787509583857108
MYT1L_001_5_23,Wt,MYT1L,F,4581.0,898.0,5479.0,83.61014783719656,18.082508250825082,8.0,20.0,152.40135523757408,24.427950347572043,7.3901582923223765,1.3687751157655312,9.441099682886406,1.5447775995335715
MYT1L_001_5_27,Wt,MYT1L,F,4243.0,655.0,4898.0,86.62719477337689,19.1328125,11.5,14.0,129.24004627736034,15.607792042425045,11.432842900251867,1.6912432515650073,12.11415250678893,1.7557735354583455
MYT1L_001_1_4,Wt,MYT1L,F,2006.0,605.0,2611.0,76.82880122558406,10.528225806451612,6.0,29.0,125.131104077366,32.16085472928683,5.7026655169125,1.747640768487274,6.296010905562658,1.8680290487247129
MYT1L_001_2_6,Wt,MYT1L,F,2001.0,600.0,2601.0,76.93194925028835,13.407216494845361,4.0,19.0,97.53622345068374,22.408950044665257,5.411773347094078,1.3978749997383322,6.545338564721482,1.5401076562328186
MYT1L_001_9_11,Wt,MYT1L,F,3493.0,743.0,4236.0,82.45986779981114,16.29230769230769,14.5,16.0,130.76049943246312,15.975109959997695,13.512453670705057,2.389866603796844,12.481690899651188,2.1812903647394304
MYT1L_001_7_32,Wt,MYT1L,F,3331.0,432.0,3763.0,88.51979803348392,18.091346153846153,16.5,10.0,104.58465728551974,11.330175969772416,13.639595578486851,1.4031337795436856,14.384454387404553,1.456162989930282
MYT1L_001_8_41,Wt,MYT1L,F,4311.0,610.0,4921.0,87.60414549888235,14.777777777777779,14.5,20.0,167.5910878112713,21.25575172061642,12.794724795053467,1.8764492576810332,13.012918311482235,1.9068044716637633
MYT1L_001_10_42,Wt,MYT1L,F,2699.0,688.0,3387.0,79.68703867729555,14.351694915254237,12.0,15.0,118.81963544823085,15.776731803970991,12.939682871970046,2.2659873075093424,12.718711084378636,2.2205682781787215
MYT1L_001_12_48,Wt,MYT1L,F,2417.0,656.0,3073.0,78.65278229742923,11.297794117647058,7.0,28.0,138.17010218360122,30.863379841914234,7.276861625085497,2.905370738917823,7.65871215814484,3.1291696039595527
MYT1L_001_2_10,Het,MYT1L,M,2950.0,541.0,3491.0,84.50300773417358,13.026119402985074,6.5,26.0,135.89290639873704,29.2524884909875,6.428901498433898,1.9087821212856013,7.101146179010961,2.0603542616136616
MYT1L_001_3_18,Het,MYT1L,M,1578.0,940.0,2518.0,62.66878474980143,15.447852760736197,7.5,14.0,82.04028847386144,16.817300821878625,7.2801192605139775,1.823005351259961,8.388797007367371,2.025184383822769
