Mouse_ID,Genotype,Gene,Sex,Left_Poke_PR1,Right_Poke_PR1,Total_Pokes_PR1,Accuracy_PR1,PokesPerPellet_PR1,MedianBreakPoint_PR1,Numberofblocks_PR1,Daily_Pellets_PR1,Demand_Q0_raw_PR1,Demand_alpha_raw_PR1,Demand_beta_raw_PR1,Demand_alpha_FR_PR1,Demand_beta_FR_PR1
MYT1L_001_1_2,Het,MYT1L,M,7903.0,1027.0,8930.0,88.49944008958566,23.194805194805195,9.0,20.0,194.7221766923455,23.6032983161411,9.244470248370963,1.3935629614779126,11.17733121796624,1.5211381228410317
MYT1L_001_3_20,Het,MYT1L,M,5700.0,617.0,6317.0,90.23270539813203,28.327354260089685,21.5,6.0,112.08116157855548,,,,,
MYT1L_001_5_25,Het,MYT1L,M,1877.0,663.0,2540.0,73.8976377952756,12.828282828282829,7.0,19.0,99.67894746042197,20.744822267928498,7.307956911985649,1.9334921718784734,7.663693723306536,2.013272089689571
MYT1L_001_9_17,Het,MYT1L,M,1958.0,495.0,2453.0,79.82062780269058,12.51530612244898,10.0,16.0,98.83218068808546,17.66620253808493,9.113004721511558,2.378803463552341,9.505933462429075,2.4900202088435606
MYT1L_001_8_33,Het,MYT1L,M,4527.0,1055.0,5582.0,81.09996417054819,18.606666666666666,9.0,19.0,150.82394562889863,20.54970094759209,10.538034259741517,1.9345937872569252,10.913696127653493,1.9857337631214549
MYT1L_001_12_47,Het,MYT1L,M,3384.0,867.0,4251.0,79.60479887085393,18.893333333333334,13.0,13.0,113.16800558854348,15.231949384386382,10.618378673644841,1.8882391285003575,11.801198147584941,2.0462270912912857
MYT1L_001_12_52,Het,MYT1L,M,2653.0,619.0,3272.0,81.08190709046454,15.289719626168225,7.0,17.0,108.03912631911089,20.08420034993115,6.926057603131581,1.5248311077284598,8.16563251051517,1.6793977127460806
MYT1L_001_3_19,Wt,MYT1L,M,4674.0,749.0,5423.0,86.18845657385211,21.3503937007874,9.0,11.0,128.46530741267583,12.720559468755525,14.394662284729925,1.6078162594004595,15.750803598343975,1.7108400662774133
MYT1L_001_5_22,Wt,MYT1L,M,3544.0,432.0,3976.0,89.13480885311871,18.238532110091743,21.5,10.0,109.26557605290637,10.417671040885075,17.435021173300484,1.821723951302045,15.95164216787265,1.6687925907377679
MYT1L_001_5_26,Wt,MYT1L,M,4749.0,395.0,5144.0,92.32115085536547,20.82591093117409,15.0,10.0,123.47999166801677,11.988238419484563,14.62870387306351,1.6165320770230323,16.598175769365906,1.7546820167318793
MYT1L_001_1_3,Wt,MYT1L,M,3773.0,570.0,4343.0,86.87543172921943,16.703846153846154,14.5,14.0,130.0579540651795,14.821138408433356,14.33376304859231,2.1536068919355476,14.109452457276317,2.1189630566512054
MYT1L_001_2_9,Wt,MYT1L,M,2787.0,708.0,3495.0,79.74248927038626,14.036144578313253,9.5,20.0,124.44382743900323,21.889224477167133,8.927453009330158,2.308745302154604,9.348504546348309,2.422727328651627
MYT1L_001_7_30,Wt,MYT1L,M,3012.0,301.0,3313.0,90.91457893148204,14.923423423423424,18.0,11.0,111.02570039360963,11.440715842707618,17.597242374348824,2.5120112075417746,16.57148316515839,2.304031082961421
MYT1L_001_8_34,Wt,MYT1L,M,2560.0,697.0,3257.0,78.59993859379797,14.737556561085972,7.5,18.0,110.99201320669171,20.40048564745913,7.888221857795623,1.9810019150768932,8.5997288430121,2.1280255664360284
MYT1L_001_8_36,Wt,MYT1L,M,4829.0,1215.0,6044.0,79.89741892786235,26.50877192982456,7.0,12.0,114.73101182884,14.427767643903143,8.625815578032359,1.3440715994273709,10.316420994845002,1.4618551338439778
MYT1L_001_10_44,Wt,MYT1L,M,6290.0,652.0,6942.0,90.6078939786805,21.626168224299064,23.0,13.0,160.35152636447734,12.603489388283304,20.867408078605436,1.9881065216536582,17.565783938670776,1.691155531595196
MYT1L_001_12_45,Wt,MYT1L,M,1650.0,590.0,2240.0,73.66071428571429,9.824561403508772,8.0,25.0,117.71187504108133,26.85076883087724,7.405228202171805,2.38777200563432,7.674152594957798,2.4842168281942456
MYT1L_001_8_37,Het,MYT1L,M,2861.0,454.0,3315.0,86.30467571644043,13.0,8.0,24.0,128.08110873407122,25.100642356310626,7.820121200701245,2.3860908654532036,7.856239852289499,2.3989789144782065
MYT1L_001_8_39,Het,MYT1L,F,2711.0,622.0,3333.0,81.33813381338135,16.833333333333332,8.0,15.0,99.95384192905681,16.85813176051264,7.487702643553582,1.5004469297988228,8.147101651850958,1.5754402971302532
