Mouse_ID,Genotype,Gene,Sex,Pellets,Left_Poke,Right_Poke,Total_Pokes,Accuracy,PokesPerPellet,RetrievalTime,InterPelletInterval,PokeTime,%MealPellets,%GrazingPellets,NumMeals,AvgMealSize,AvgMealDuration,RecordingHours,MealsPerHour,Daily_Pellets,Left Poke with Pellet,Within_meal_pellet_rate,%MealPellets_Day,%GrazingPellets_Day,Pellets_Day,NumMeals_Day,AvgMealSize_Day,AvgMealDuration_Day,MealsPerHour_Day,Accuracy_Day,%MealPellets_Night,%GrazingPellets_Night,Pellets_Night,NumMeals_Night,AvgMealSize_Night,AvgMealDuration_Night,MealsPerHour_Night,Accuracy_Night,Weight
MYT1L_001_5_28,Het,MYT1L,F,164,164,114,278,58.99280576,1.695121951,0.88,19.33333333,0.155,16.46341463,83.53658537,7,3.857142857,56.28571429,24.19888889,0.28926948,162.2089429,86,19.62148859,28.20512821,71.79487179,39,2,5.5,94.5,0.082648423,71.42857143,12.8,87.2,125,5,3.2,41,0.424758713,55.85585586,18.25
MYT1L_001_7_30,Wt,MYT1L,M,205,205,36,241,85.06224066,1.175609756,0.37,21.97665079,0.17,73.65853659,26.34146341,25,6.04,105.76,24.15111111,1.035149061,203.1355728,6,17.94352953,65.57377049,34.42622951,61,7,5.714285714,104.7142857,0.289841737,85.91549296,77.08333333,22.91666667,144,18,6.166666667,106.1666667,1.566579634,84.70588235,27.54
MYT1L_001_7_32,Wt,MYT1L,F,187,188,119,307,61.23778502,1.64171123,0.5,24.7618046,0.15,78.60962567,21.39037433,19,7.736842105,159.3157895,20.765,0.915001204,215.6511525,5,21.64179917,72.54901961,27.45098039,51,5,7.4,156.2,0.240789791,61.17647059,80.14705882,19.85294118,136,14,7.785714286,158.8571429,1.182543407,61.26126126,20.89
MYT1L_001_8_33,Het,MYT1L,M,184,184,84,268,68.65671642,1.456521739,0.56,22.07995238,0.18,65.2173913,34.7826087,25,4.8,86.08,23.12611111,1.08102914,185.9390168,12,21.31558505,85.96491228,14.03508772,57,8,6.125,127.75,0.345929325,75.32467532,55.90551181,44.09448819,127,17,4.176470588,66.47058824,1.434901878,65.96858639,25.49
MYT1L_001_8_34,Wt,MYT1L,M,231,231,71,302,76.49006623,1.307359307,0.63,22.83047619,0.15,72.72727273,27.27272727,35,4.8,83.8,24.18611111,1.447111519,227.490226,119,21.67589878,84.88372093,15.11627907,86,17,4.294117647,78.11764706,0.702882738,72.64957265,65.51724138,34.48275862,145,19,5,83.21052632,1.598765865,78.91891892,24.07
MYT1L_001_8_36,Wt,MYT1L,M,199,199,106,305,65.24590164,1.532663317,0.94,26.64960317,0.17,57.28643216,42.71356784,24,4.75,97.5,23.62388889,1.015920796,193.8683234,28,23.30880345,74.13793103,25.86206897,58,8,5.375,119.625,0.338640265,71.25,50.35460993,49.64539007,141,16,4.4375,86.4375,1.365543728,63.11111111,26.85
MYT1L_001_8_37,Het,MYT1L,M,216,216,53,269,80.29739777,1.24537037,0.44,24.96866667,0.12,70.37037037,29.62962963,25,6.08,123.44,24.46277778,1.021960802,211.7334725,8,21.92198303,77.17391304,22.82608696,92,12,5.916666667,119.1666667,0.490541185,92,65.32258065,34.67741935,124,13,6.230769231,127.3846154,1.110794645,73.37278107,25.25
MYT1L_001_8_39,Het,MYT1L,F,144,144,64,208,69.23076923,1.444444444,0.75,25.38444444,0.11,43.75,56.25,15,4.2,82.26666667,23.84027778,0.6291873,144.1217696,19,20.63390462,48.57142857,51.42857143,35,3,5.666666667,150.6666667,0.12583746,81.39534884,42.20183486,57.79816514,109,12,3.833333333,65.16666667,1.006312749,66.06060606,19.07
MYT1L_001_8_41,Wt,MYT1L,F,185,185,50,235,78.72340426,1.27027027,1.07,28.88818448,0.13,81.62162162,18.37837838,19,7.947368421,189.1052632,21.55972222,0.88127295,205.9369202,19,23.6065117,87.5,12.5,56,6,8.166666667,198.6666667,0.278296721,82.08955224,79.06976744,20.93023256,129,13,7.846153846,184.6923077,1.130953819,77.38095238,19.03
MYT1L_001_9_11,Wt,MYT1L,F,188,189,50,239,79.07949791,1.271276596,0.94,20.7191232,0.1,55.31914894,44.68085106,21,4.952380952,82.66666667,19.16611111,1.095683933,235.0374047,33,17.70960288,55.81395349,44.18604651,43,4,6,119.5,0.208701701,95.65217391,55.17241379,44.82758621,145,17,4.705882353,74,1.433691756,75.12953368,19.05
MYT1L_001_9_12,Het,MYT1L,F,155,155,51,206,75.24271845,1.329032258,0.88,21.25066667,0.09,66.4516129,33.5483871,25,4.12,65.04,24.23583333,1.031530447,153.2633699,8,19.25158905,57.37704918,42.62295082,61,9,3.888888889,72.88888889,0.371350961,78.94736842,72.34042553,27.65957447,94,16,4.25,60.625,1.352144417,73.07692308,19.64
MYT1L_001_9_13,Het,MYT1L,F,180,180,131,311,57.8778135,1.727777778,0.75,21.29090909,0.14,52.77777778,47.22222222,22,4.318181818,70.22727273,25.19444444,0.873208379,171.1116979,72,18.50343598,48.8372093,51.1627907,43,5,4.2,77.2,0.19845645,57.33333333,54.01459854,45.98540146,137,17,4.352941176,68.17647059,1.473633518,58.05084746,19.63
MYT1L_001_9_14,Het,MYT1L,F,162,163,52,215,75.81395349,1.327160494,0.69,25.18452381,0.11,29.01234568,70.98765432,14,3.357142857,59.85714286,23.85611111,0.586851727,161.2255947,142,26.19904778,43.5483871,56.4516129,62,8,3.375,71.75,0.335343844,82.89473684,20,80,100,6,3.333333333,44,0.515894815,71.94244604,19.04
MYT1L_001_9_17,Het,MYT1L,M,164,164,59,223,73.5426009,1.359756098,0.94,28.81349206,0.11,49.3902439,50.6097561,21,3.857142857,82.61904762,24.60638889,0.85343689,159.5837416,47,23.39507125,80.70175439,19.29824561,57,11,4.181818182,103.4545455,0.447038371,77.77777778,32.71028037,67.28971963,107,10,3.5,59.7,0.851204691,71.52317881,22.65
